Name,AtEventIndex,EdgeCount,EdgeDelete,Latency,AlgTimeSinceLast,CurrentRuntime
0,0,1,0,9313564,5722900,5873505
0,5,4,2,4427240,61908,16803563
0,75,57,19,110860,36288,22109738
0,367,190,178,326450,46231,24989826
0,1276,515,762,1189297,123698,26608817
0,2747,769,1979,1240975,109073,28681468
0,5196,1097,4100,2659970,175244,31130865
0,7372,1083,6290,5841838,818230,35509486
0,10581,1692,8890,2858552,246649,42569923
0,13695,1447,12249,7326968,248647,46482541
0,23064,6947,16118,16090018,520610,55182202
0,80511,39328,41184,55436510,46110113,120422635
0,185250,56345,128906,133681501,25163105,202624398
0,273455,38670,234786,129002436,4366341,342422337
0,342163,33427,308737,150067944,3509778,477224681
0,390861,23348,367514,110945692,2280714,633132897
0,430523,17585,412939,53436163,1955682,750912844
0,461497,14374,447124,40847994,1512578,810366711
0,486868,11929,474940,28486168,1337324,857341201
0,509511,11273,498239,26815872,1077589,891428434
0,530321,9520,520802,30281085,928368,923689870
0,546661,8218,538444,18449468,959731,959492964
0,560479,7022,553458,18767884,1216348,983868759
0,575805,7962,567844,17206405,732360,1007753011
0,589957,7037,582921,15964123,778246,1030707636
0,609807,10146,599662,20873683,974725,1052212570
0,627763,8710,619054,147456781,1073970,1079734744
0,642392,6783,635610,15461102,794476,1234511299
0,660330,10072,650259,16728612,859368,1257435721
0,678988,9217,669772,19299788,1039832,1282012715
0,697513,9614,687900,20316978,862784,1308732912
0,713320,7843,705478,18220182,731908,1336608988
0,730529,8635,721895,19903840,887144,1362502802
0,744616,7136,737481,17796930,642400,1389823062
0,758570,6541,752030,18709503,765346,1415362153
0,774352,9148,765205,19887602,792188,1442030001
0,800598,13248,787351,33158880,1176361,1470447814
0,818810,7040,811771,25920631,865276,1511232396
0,831215,6080,825136,15378423,715747,1544572664
0,849823,10113,839711,20604154,877497,1567756656
0,870063,10177,859887,24292843,1005146,1596131060
0,934837,38800,896038,83803246,3073638,1630609805
0,1049012,60614,988399,230536999,5334443,1727535078
0,1171912,71778,1100135,228206113,5619694,1972724906
0,1433915,148561,1285355,549192005,23560790,2234494058
0,1860375,260440,1599936,718121135,43240299,2838318076
0,2359147,233587,2125561,846657844,24591920,3596316588
0,2793462,220383,2573080,788747704,23250620,4482647637
0,3181664,206877,2974788,697347556,17910708,5306818649
0,3530207,170751,3359457,652271710,16706554,6040389919
0,3846031,141668,3704364,525772476,13925120,6724810472
0,4112027,135335,3976693,444318776,12130643,7282660212
0,4395730,148040,4247691,531458634,12393842,7761110399
0,4673426,139418,4534009,485495350,14433402,8330437047
0,4924419,125746,4798674,505577206,11730990,8850714860
0,5166505,118595,5047911,419366488,10554168,9390014826
0,5394236,116627,5277610,478628164,10034418,9846256364
0,5574214,91634,5482581,392091989,9059634,10361899455
0,5766014,102045,5663970,359547537,8530055,10923682346
0,5942431,95980,5846452,357553674,8295936,11317776465
0,6164091,103248,6060844,431026822,9964736,11713763569
0,6354634,98528,6256107,353614363,8076574,12179264394
0,6581095,127714,6453382,497831558,10259879,12570459436
0,6931836,203215,6728622,725007485,21331152,13118762874
0,7352328,217941,7134388,971531240,18930128,13894040431
0,8022285,352246,7670040,1307391351,107463457,15012241728
0,8655189,313001,8342189,1419331525,30524868,16388969544
0,9427913,386420,9041494,1853511791,39985261,17888072619
0,10118334,339241,9779094,1747481170,32636262,19817799762
0,10843811,354559,10489253,1616657719,53216731,21664261024
0,11473039,309749,11163291,1336024766,38550120,23368573580
0,11995525,232295,11763231,1270858746,24228627,24774881956
0,12500552,242023,12258530,1076041384,22168862,26116263313
0,12917788,196729,12721060,962812272,18358065,27259090229
0,13285555,173905,13111651,796855861,16635107,28286150593
0,13652379,186808,13465572,787717896,18308041,29151690933
0,14032133,191598,13840536,859023054,17962947,30006988469
0,14383443,173668,14209776,795085260,15247808,30931836378
0,14719444,161022,14558423,763446506,14307092,31793830547
0,15021796,141355,14880442,658060428,14611599,32624621452
0,15297810,143759,15154052,566557905,12656683,33348422324
0,15536370,111520,15424851,545940927,11519476,33979549834
0,15811160,129334,15681827,590401868,12978714,34591574846
0,16049114,112818,15936297,483279955,10621968,35246282355
0,16259247,106380,16152868,463741077,10391834,35794137317
0,16465838,112421,16353418,436002487,10219034,36324242265
