AbsoluteElapsed,Elapsed
554300,554566
358578,358793
342800,343016
425149,425488
358039,358287
334193,334415
376580,376797
330444,330667
339521,339742
393127,393367
381850,382066
429508,429710
507791,508005
698818,699118
813133,813344
757276,757489
887428,887638
931246,931483
955451,955672
1010631,1010874
1014876,1015115
1016481,1016685
959494,959713
959963,960189
1115163,1115473
974853,975085
956199,956471
1209012,1209216
1423322,1423541
1177407,1177626
2788570,2788816
1199708,1199911
1275203,1275422
1207473,1207700
1230668,1230904
1277240,1277462
2968114,2968625
1317418,1317623
1915832,1916184
1289010,1289219
2643095,2643355
3743345,3743582
4961453,4961684
9627029,9627247
9083801,9084207
14928724,14929192
16292361,16292780
14571311,14571712
14931929,14932329
15711451,15711871
13679779,13680180
18348257,18348703
14858334,14858780
15705354,15705716
15867640,15867986
14629626,14630251
15320611,15321057
13015472,13016213
14365830,14366346
14506416,14506800
16061702,16062076
16167134,16167506
18246025,18246434
24624495,24624888
26815478,26815952
38231648,38232090
36302368,36302744
40786049,40787490
45482724,45483191
71585853,71586267
43570178,43570567
39688136,39688471
39590428,39590811
37376898,37377731
35269793,35270305
37089353,37089732
36495823,36496177
36427157,36427493
41530491,41530916
43144185,43144586
35929388,35929822
38691827,38692277
34075969,34076336
31385138,31385507
33726079,33726459
28240049,28240415
30006313,30006817
27409106,27409485
25802590,25802936
25112536,25112907
24765061,24765579
20870392,20870935
21717034,21717570
21049349,21049691
21085042,21085430
23093480,23093943
19957402,19957760
19883494,19883844
21922126,21922462
18525041,18525424
36117208,36117776
23889477,23889955
23688371,23688763
24963743,24965417
20904300,20904985
33791113,33791758
18854520,18854954
46504667,46505032
24896883,24897271
22558967,22559367
21025885,21026253
20262770,20263121
18827532,18827896
19213140,19213489
19504294,19504699
20238766,20239314
19314016,19314894
20159223,20159581
20750352,20750710
18283275,18283654
18637583,18637935
18375819,18376143
37605369,37605787
17801244,17801642
27017433,27017933
19432436,19432803
17906163,17906740
19700399,19700742
32016261,32017536
18884099,18884558
18182821,18183186
17209102,17209464
17011149,17011504
22756383,22756724
17239178,17239601
16955093,16955474
17801895,17802376
16892959,16893362
19526790,19527207
18096674,18097345
20251890,20252404
19902352,19902796
18755570,18755992
21861587,21862297
17184887,17185262
16071193,16071660
14427800,14428181
13889162,13889592
15413142,15413686
23836281,23836675
11190610,11190995
12110363,12111041
10797390,10797744
12040615,12041111
14178124,14178712
14880126,14880494
13783196,13783622
11177338,11177771
11422067,11422530
11569060,11569465
11687660,11688143
15804422,15804773
10869298,10869569
14661235,14661657
11732082,11732431
13630845,13631279
11130137,11130551
22230938,22231312
13968784,13969187
11108134,11108592
11555392,11556051
11748366,11748990
11784533,11784970
11991105,11991519
11168772,11168985
13121247,13121598
30272687,30273166
11207703,11208034
11652804,11653206
11895500,11895929
10764845,10765111
14600324,14600708
11480094,11480512
12263416,12263810
12907919,12908436
32364358,32364756
11295926,11296393
11187293,11187713
12565443,12566024
12328419,12328832
12565724,12566062
15159979,15160476
11491391,11492105
12459956,12460398
22868598,22872405
11345714,11346145
11649026,11649401
11612347,11612691
37604911,37605343
21633916,21634407
23360512,23360991
16724631,16725263
12917691,12918165
12328501,12328931
16219725,16220126
19322377,19323068
23576972,23577467
12248457,12248997
12112429,12112795
11890358,11890806
11579196,11579564
11687817,11688232
11720167,11720773
15195671,15196043
11859003,11859347
12823831,12824278
11677886,11678122
14163890,14164568
12338251,12338711
11564289,11564536
11888738,11889083
11612325,11612721
11764749,11765446
19159644,19160071
11948526,11948984
11708351,11708678
12254288,12254669
11880407,11880783
11465973,11466347
12193228,12193731
12030720,12031156
12278020,12278401
17978225,17978580
11867389,11867815
11808696,11809092
12344374,12344847
13322735,13323108
15420751,15421155
