Name,AtEventIndex,EdgeCount,EdgeDelete,Latency,AlgTimeSinceLast,CurrentRuntime
0,0,1,0,6718563,2195449,2287211
0,6,7,0,1334282,34651,9878289
0,89,90,0,71626,39021,11594655
0,510,511,0,106507,70391,12003385
0,1853,1854,0,163834,129653,12587561
0,4165,4166,0,264808,197317,13188318
0,8226,8227,0,4266672,475268,14366788
0,12143,12144,0,860857,313701,20539648
0,17507,17508,0,635842,328285,22263220
0,22985,22986,0,4561827,309835,23662309
0,36667,36668,0,8569837,1565114,30343666
0,111327,111328,0,25805770,41840855,82511538
0,261776,261777,0,49375373,28841429,138950324
0,400033,400034,0,71103722,33750757,222679112
0,516183,516184,0,35689912,4587464,298978459
0,609891,609892,0,15949917,4303521,339879634
0,692800,692801,0,129130726,4189962,361254447
0,764985,764986,0,11742186,2862047,494299979
0,826518,826519,0,12483682,2634635,510023971
0,883220,883221,0,12695621,3089464,527183851
0,935708,935709,0,8897748,2723104,543734753
0,980038,980039,0,9477552,2012703,555683393
0,1020921,1020922,0,9255135,2213606,568980020
0,1075937,1075938,0,11914054,2700269,582212096
0,1120538,1120539,0,10188821,1911649,597129219
0,1177424,1177425,0,13106131,3322790,612390665
0,1231862,1231863,0,14453586,2999278,630035669
0,1276527,1276528,0,96304801,2033584,647745401
0,1331625,1331626,0,14862998,2349739,748143827
0,1387246,1387247,0,17508943,2570016,766773445
0,1445310,1445311,0,14861045,2739310,788303437
0,1497649,1497650,0,17058536,2160249,806865172
0,1552411,1552412,0,31416427,2732721,830678629
0,1600404,1600405,0,20230154,2389620,868196101
0,1647886,1647887,0,12750051,1966141,891710841
0,1700715,1700716,0,13338937,2083805,907804079
0,1778462,1778463,0,20605678,3343410,925981871
0,1837880,1837881,0,13831925,2503122,950370464
0,1883297,1883298,0,12032702,1972650,967632893
0,1946525,1946526,0,15180180,2773724,983810791
0,2021039,2021040,0,17673935,3224135,1003780142
0,2177797,2177798,0,55123500,7105415,1029891610
