ts,date,cumRuntimeMS,algTimeSinceLastMS,qLatencyMS,allVC,realVC,EC,pctSame,matchedVertices,same,different,colourCount
1970-01-09T22:13:20-08:00,1970-01-09,59,77,20,140986,102097,800000,NaN,0,0,0,0
1970-01-19T04:26:40-08:00,1970-01-19,117,74,37,216005,163718,1600000,56.391,102097,57574,44523,30
1970-01-28T10:40:00-08:00,1970-01-28,196,87,48,301592,218055,2400000,66.603,163718,109041,54677,32
1970-02-06T16:53:20-08:00,1970-02-06,288,107,67,531915,270299,3200000,66.091,218055,144114,73941,36
1970-02-15T23:06:40-08:00,1970-02-15,388,72,43,545600,318279,4000000,58.932,270299,159293,111006,35
1970-02-25T05:20:00-08:00,1970-02-25,463,75,47,551191,361614,4800000,60.356,318279,192100,126179,35
1970-03-06T11:33:20-08:00,1970-03-06,553,153,116,755998,404277,5600000,62.296,361614,225272,136342,38
1970-03-15T17:46:40-08:00,1970-03-15,697,114,94,821073,444972,6400000,61.171,404277,247299,156978,37
1970-03-25T00:00:00-08:00,1970-03-25,810,82,67,825890,484948,7200000,63.667,444972,283302,161670,35
1970-04-03T06:13:20-08:00,1970-04-03,910,77,47,825890,521019,8000000,59.186,484948,287020,197928,38
1970-04-12T12:26:40-08:00,1970-04-12,978,88,70,825890,549900,8800000,57.304,521019,298564,222455,38
1970-04-21T18:40:00-08:00,1970-04-21,1069,91,72,827921,579775,9600000,59.303,549900,326105,223795,39
1970-05-01T01:53:20-07:00,1970-05-01,1195,217,172,1043979,609661,10400000,58.267,579775,337816,241959,38
1970-05-10T08:06:40-07:00,1970-05-10,1395,156,135,1184482,635872,11200000,55.991,609661,341355,268306,40
1970-05-19T14:20:00-07:00,1970-05-19,1556,86,71,1211610,654567,12000000,55.388,635872,352197,283675,39
1970-05-28T20:33:20-07:00,1970-05-28,1655,96,71,1226233,677702,12800000,56.383,654567,369062,285505,40
1970-06-07T02:46:40-07:00,1970-06-07,1749,97,77,1245931,706547,13600000,55.651,677702,377147,300555,41
1970-06-16T09:00:00-07:00,1970-06-16,1848,93,75,1253651,732063,14400000,56.429,706547,398697,307850,41
1970-06-25T15:13:20-07:00,1970-06-25,1949,100,78,1255869,757926,15200000,56.903,732063,416564,315499,41
1970-07-04T21:26:40-07:00,1970-07-04,2046,101,85,1255869,783489,16000000,55.481,757926,420506,337420,41
1970-07-14T03:40:00-07:00,1970-07-14,2160,103,78,1255869,808448,16800000,55.376,783489,433861,349628,41
1970-07-23T09:53:20-07:00,1970-07-23,2258,101,85,1255869,831949,17600000,54.988,808448,444553,363895,45
1970-08-01T16:06:40-07:00,1970-08-01,2365,146,128,1258056,855180,18400000,53.574,831949,445709,386240,44
1970-08-10T22:20:00-07:00,1970-08-10,2529,188,163,1343591,878543,19200000,53.525,855180,457734,397446,41
1970-08-20T04:33:20-07:00,1970-08-20,2713,115,98,1357385,901264,20000000,52.795,878543,463830,414713,44
