ts,date,cumRuntimeMS,algTimeSinceLastMS,qLatencyMS,allVC,realVC,EC,pctSame,matchedVertices,same,different,colourCount
1970-01-09T22:13:20-08:00,1970-01-09,56,69,14,133940,102097,800000,NaN,0,0,0,0
1970-01-19T04:26:40-08:00,1970-01-19,146,104,30,225296,163718,1600000,74.574,102097,76138,25959,32
1970-01-28T10:40:00-08:00,1970-01-28,220,77,36,315587,218055,2400000,75.671,163718,123887,39831,34
1970-02-06T16:53:20-08:00,1970-02-06,291,88,56,449075,270299,3200000,76.126,218055,165996,52059,34
1970-02-15T23:06:40-08:00,1970-02-15,392,81,40,544540,318279,4000000,76.982,270299,208081,62218,33
1970-02-25T05:20:00-08:00,1970-02-25,475,73,35,549912,361614,4800000,80.914,318279,257532,60747,32
1970-03-06T11:33:20-08:00,1970-03-06,550,121,85,697520,404277,5600000,80.234,361614,290139,71475,34
1970-03-15T17:46:40-08:00,1970-03-15,695,111,57,816353,444972,6400000,74.692,404277,301963,102314,38
1970-03-25T00:00:00-08:00,1970-03-25,792,70,36,820870,484948,7200000,77.569,444972,345159,99813,37
1970-04-03T06:13:20-08:00,1970-04-03,866,66,31,820870,521019,8000000,78.226,484948,379356,105592,33
1970-04-12T12:26:40-08:00,1970-04-12,934,79,44,820870,549900,8800000,81.871,521019,426562,94457,37
1970-04-21T18:40:00-08:00,1970-04-21,999,75,57,822364,579775,9600000,80.790,549900,444266,105634,35
1970-05-01T01:53:20-07:00,1970-05-01,1086,191,168,1092363,609661,10400000,79.275,579775,459618,120157,38
1970-05-10T08:06:40-07:00,1970-05-10,1297,121,88,1184348,635872,11200000,82.262,609661,501521,108140,37
1970-05-19T14:20:00-07:00,1970-05-19,1421,81,49,1213375,654567,12000000,85.598,635872,544293,91579,39
1970-05-28T20:33:20-07:00,1970-05-28,1508,79,46,1230549,677702,12800000,82.783,654567,541871,112696,37
1970-06-07T02:46:40-07:00,1970-06-07,1593,77,45,1246990,706547,13600000,80.004,677702,542191,135511,37
1970-06-16T09:00:00-07:00,1970-06-16,1677,74,40,1255600,732063,14400000,78.684,706547,555941,150606,36
1970-06-25T15:13:20-07:00,1970-06-25,1752,70,40,1255869,757926,15200000,79.897,732063,584895,147168,40
1970-07-04T21:26:40-07:00,1970-07-04,1827,76,45,1255869,783489,16000000,80.173,757926,607651,150275,38
1970-07-14T03:40:00-07:00,1970-07-14,1908,77,44,1255869,808448,16800000,82.493,783489,646326,137163,40
1970-07-23T09:53:20-07:00,1970-07-23,1989,76,43,1255869,831949,17600000,79.055,808448,639121,169327,38
1970-08-01T16:06:40-07:00,1970-08-01,2068,86,54,1256588,855180,18400000,79.441,831949,660908,171041,41
1970-08-10T22:20:00-07:00,1970-08-10,2166,142,106,1343456,878543,19200000,83.042,855180,710159,145021,40
1970-08-20T04:33:20-07:00,1970-08-20,2311,94,60,1367148,901264,20000000,81.730,878543,718036,160507,39
1970-08-29T10:46:40-07:00,1970-08-29,2390,81,68,1374559,922487,20800000,82.463,901264,743209,158055,40
1970-09-07T17:00:00-07:00,1970-09-07,2498,103,66,1396528,945287,21600000,82.769,922487,763533,158954,39
1970-09-16T23:13:20-07:00,1970-09-16,2592,102,80,1407118,969962,22400000,81.081,945287,766449,178838,41
1970-09-26T05:26:40-07:00,1970-09-26,2702,106,80,1421395,992943,23200000,80.010,969962,776068,193894,41
1970-10-05T11:40:00-07:00,1970-10-05,2821,90,59,1437886,1014796,24000000,83.141,992943,825539,167404,42
1970-10-14T17:53:20-07:00,1970-10-14,2919,92,58,1449660,1034321,24800000,82.049,1014796,832634,182162,42
1970-10-24T00:06:40-07:00,1970-10-24,3014,87,56,1459566,1053403,25600000,81.919,1034321,847302,187019,41
1970-11-02T05:20:00-08:00,1970-11-02,3108,93,60,1472287,1073904,26400000,81.150,1053403,854835,198568,42
1970-11-11T11:33:20-08:00,1970-11-11,3207,117,84,1484033,1092961,27200000,79.354,1073904,852186,221718,43
1970-11-20T17:46:40-08:00,1970-11-20,3342,105,58,1502285,1110611,28000000,77.612,1092961,848267,244694,43
1970-11-30T00:00:00-08:00,1970-11-30,3437,102,70,1515337,1127968,28800000,81.289,1110611,902806,207805,43
1970-12-09T06:13:20-08:00,1970-12-09,3545,95,63,1527002,1144949,29600000,85.246,1127968,961543,166425,45
1970-12-18T12:26:40-08:00,1970-12-18,3643,114,83,1538907,1162233,30400000,84.353,1144949,965802,179147,43
1970-12-27T18:40:00-08:00,1970-12-27,3761,97,70,1551456,1179789,31200000,83.355,1162233,968778,193455,44
1971-01-06T00:53:20-08:00,1971-01-06,3889,106,55,1563755,1198236,32000000,83.384,1179789,983754,196035,46
1971-01-15T07:06:40-08:00,1971-01-15,3980,92,65,1574867,1214530,32800000,77.008,1198236,922740,275496,43
1971-01-24T13:20:00-08:00,1971-01-24,4089,102,64,1586282,1231967,33600000,78.128,1214530,948885,265645,47
1971-02-02T19:33:20-08:00,1971-02-02,4177,102,83,1595453,1248543,34400000,74.781,1231967,921277,310690,47
1971-02-12T01:46:40-08:00,1971-02-12,4281,99,83,1604883,1264568,35200000,82.953,1248543,1035708,212835,48
1971-02-21T08:00:00-08:00,1971-02-21,4394,110,87,1615346,1280975,36000000,84.261,1264568,1065532,199036,48
1971-03-02T14:13:20-08:00,1971-03-02,4510,115,91,1626203,1295910,36800000,79.903,1280975,1023532,257443,45
1971-03-11T20:26:40-08:00,1971-03-11,4639,104,69,1641328,1311165,37600000,79.449,1295910,1029585,266325,48
1971-03-21T02:40:00-08:00,1971-03-21,4746,101,69,1652483,1326120,38400000,85.082,1311165,1115566,195599,46
1971-03-30T08:53:20-08:00,1971-03-30,4856,134,98,1662839,1340333,39200000,79.350,1326120,1052280,273840,51
1971-04-08T15:06:40-08:00,1971-04-08,4998,108,71,1673681,1354149,40000000,81.930,1340333,1098141,242192,48
1971-04-17T21:20:00-08:00,1971-04-17,5091,96,77,1681409,1368158,40800000,84.657,1354149,1146382,207767,48
1971-04-27T04:33:20-07:00,1971-04-27,5199,101,75,1693117,1382781,41600000,73.338,1368158,1003380,364778,49
1971-05-06T10:46:40-07:00,1971-05-06,5299,110,90,1701146,1397560,42400000,81.084,1382781,1121213,261568,50
1971-05-15T17:00:00-07:00,1971-05-15,5421,117,90,1709847,1412159,43200000,79.754,1397560,1114606,282954,49
1971-05-24T23:13:20-07:00,1971-05-24,5552,109,74,1723642,1427359,44000000,83.014,1412159,1172291,239868,50
1971-06-03T05:26:40-07:00,1971-06-03,5673,109,69,1733266,1438809,44800000,82.990,1427359,1184570,242789,49
1971-06-12T11:40:00-07:00,1971-06-12,5768,112,89,1738792,1450696,45600000,82.416,1438809,1185804,253005,48
1971-06-21T17:53:20-07:00,1971-06-21,5882,98,78,1746266,1462763,46400000,81.381,1450696,1180585,270111,50
1971-07-01T00:06:40-07:00,1971-07-01,5990,130,105,1754074,1475395,47200000,74.303,1462763,1086880,375883,48
1971-07-10T06:20:00-07:00,1971-07-10,6125,118,93,1763072,1489227,48000000,81.484,1475395,1202214,273181,50
1971-07-19T12:33:20-07:00,1971-07-19,6249,104,78,1769242,1504681,48800000,81.395,1489227,1212150,277077,50
1971-07-28T18:46:40-07:00,1971-07-28,6348,101,86,1776191,1517002,49600000,80.746,1504681,1214975,289706,51
1971-08-07T01:00:00-07:00,1971-08-07,6463,107,84,1784287,1529394,50400000,81.098,1517002,1230259,286743,51
1971-08-16T07:13:20-07:00,1971-08-16,6569,114,99,1792192,1541974,51200000,78.310,1529394,1197668,331726,52
1971-08-25T13:26:40-07:00,1971-08-25,6704,96,65,1806121,1553372,52000000,85.027,1541974,1311096,230878,52
1971-09-03T19:40:00-07:00,1971-09-03,6804,100,72,1811984,1565273,52800000,83.559,1553372,1297987,255385,51
1971-09-13T01:53:20-07:00,1971-09-13,6910,100,71,1820355,1577236,53600000,86.371,1565273,1351937,213336,51
1971-09-22T08:06:40-07:00,1971-09-22,7015,92,62,1826971,1589154,54400000,82.645,1577236,1303503,273733,52
1971-10-01T14:20:00-07:00,1971-10-01,7113,99,69,1835100,1600381,55200000,76.676,1589154,1218493,370661,52
1971-10-10T20:33:20-07:00,1971-10-10,7218,101,69,1842336,1611756,56000000,79.942,1600381,1279373,321008,51
1971-10-20T02:46:40-07:00,1971-10-20,7323,111,81,1849022,1622173,56800000,78.170,1611756,1259913,351843,53
1971-10-29T09:00:00-07:00,1971-10-29,7440,105,77,1856848,1632940,57600000,77.123,1622173,1251075,371098,52
1971-11-07T14:13:20-08:00,1971-11-07,7555,111,78,1862849,1643909,58400000,77.463,1632940,1264924,368016,52
