ts,date,cumRuntimeMS,algTimeSinceLastMS,qLatencyMS,allVC,realVC,EC,pctSame,matchedVertices,same,different,colourCount
1970-01-09T22:13:20-08:00,1970-01-09,61,90,31,132784,102097,800000,NaN,0,0,0,0
1970-01-19T04:26:40-08:00,1970-01-19,138,78,34,224714,163718,1600000,85.831,102097,87631,14466,32
1970-01-28T10:40:00-08:00,1970-01-28,202,73,46,346316,218055,2400000,86.623,163718,141817,21901,34
1970-02-06T16:53:20-08:00,1970-02-06,283,88,57,512190,270299,3200000,87.999,218055,191887,26168,36
1970-02-15T23:06:40-08:00,1970-02-15,364,78,57,545600,318279,4000000,89.142,270299,240951,29348,38
1970-02-25T05:20:00-08:00,1970-02-25,454,73,45,548602,361614,4800000,91.870,318279,292403,25876,40
1970-03-06T11:33:20-08:00,1970-03-06,542,146,108,733170,404277,5600000,92.252,361614,333596,28018,41
1970-03-15T17:46:40-08:00,1970-03-15,671,110,94,824596,444972,6400000,92.408,404277,373584,30693,43
1970-03-25T00:00:00-08:00,1970-03-25,786,77,60,825890,484948,7200000,93.544,444972,416243,28729,44
1970-04-03T06:13:20-08:00,1970-04-03,877,80,51,825890,521019,8000000,93.643,484948,454118,30830,46
1970-04-12T12:26:40-08:00,1970-04-12,955,79,56,825890,549900,8800000,94.644,521019,493111,27908,48
1970-04-21T18:40:00-08:00,1970-04-21,1030,106,88,831247,579775,9600000,94.755,549900,521056,28844,48
1970-05-01T01:53:20-07:00,1970-05-01,1142,217,203,1085575,609661,10400000,94.770,579775,549450,30325,50
1970-05-10T08:06:40-07:00,1970-05-10,1364,166,155,1184358,635872,11200000,95.324,609661,581152,28509,50
1970-05-19T14:20:00-07:00,1970-05-19,1544,100,80,1212319,654567,12000000,96.603,635872,614272,21600,49
1970-05-28T20:33:20-07:00,1970-05-28,1642,84,72,1224345,677702,12800000,95.883,654567,627616,26951,51
1970-06-07T02:46:40-07:00,1970-06-07,1734,101,85,1240632,706547,13600000,95.418,677702,646650,31052,54
1970-06-16T09:00:00-07:00,1970-06-16,1838,95,80,1252193,732063,14400000,95.784,706547,676756,29791,54
1970-06-25T15:13:20-07:00,1970-06-25,1936,92,78,1255760,757926,15200000,95.738,732063,700863,31200,54
1970-07-04T21:26:40-07:00,1970-07-04,2033,95,80,1255869,783489,16000000,95.941,757926,727163,30763,55
1970-07-14T03:40:00-07:00,1970-07-14,2144,99,71,1255869,808448,16800000,95.927,783489,751579,31910,55
1970-07-23T09:53:20-07:00,1970-07-23,2247,103,75,1255869,831949,17600000,96.192,808448,777661,30787,56
1970-08-01T16:06:40-07:00,1970-08-01,2340,115,102,1255869,855180,18400000,96.415,831949,802123,29826,56
1970-08-10T22:20:00-07:00,1970-08-10,2478,179,152,1343605,878543,19200000,96.543,855180,825613,29567,57
1970-08-20T04:33:20-07:00,1970-08-20,2663,115,92,1365276,901264,20000000,96.699,878543,849546,28997,57
1970-08-29T10:46:40-07:00,1970-08-29,2786,123,99,1376675,922487,20800000,96.630,901264,870893,30371,58
1970-09-07T17:00:00-07:00,1970-09-07,2914,125,101,1396524,945287,21600000,96.761,922487,892610,29877,59
1970-09-16T23:13:20-07:00,1970-09-16,3043,138,115,1407944,969962,22400000,96.806,945287,915097,30190,61
1970-09-26T05:26:40-07:00,1970-09-26,3181,123,104,1420030,992943,23200000,97.023,969962,941083,28879,60
1970-10-05T11:40:00-07:00,1970-10-05,3309,130,110,1432402,1014796,24000000,97.053,992943,963681,29262,60
